mechanism_id,round,gross_bps,net_bps_at_14,verdict_source,kill_reason,trigger_type,holding_period,universe,tier_central,tier_stress,maker_admissible,n_independent,operational_status,cost_realistic_rt_central,net_bps_central,net_bps_stress15x_central,cost_realistic_rt_stress_tier,net_bps_stress_tier,net_bps_stress15x_stress_tier,maker_urgency_penalty_rt_if_posted_p99,maker_urgency_penalty_rt_if_posted_p999,w5_verdict,delta_net_bps
X1_CROSS_VENUE_OFI_DIVERGENCE,r3,0.04,-13.96,WEAK,cost (needs 96x gross),MICROSTRUCTURE,1s,BTCUSDT binance vs okx,T1_MAJOR,T2_LIQUID_ALT,False,22950.0,,10.1,-10.06,-15.11,11.3,-11.26,-16.91,1.95,10.39,UNCHANGED_DEAD,3.9
T1_TRADE_SIGN_AUTOCORR,r3,-0.04,-14.04,WEAK,wrong-signed vs maker cost,MICROSTRUCTURE,1s,3 venues x 2 periods,T3_MID_ALT,T4_WIDE_ALT,False,34615.0,,12.7,-12.74,-19.09,15.8,-15.84,-23.74,1.95,10.39,UNCHANGED_DEAD,1.3
B8_DEPLETION_RECENCY_VOL,r3,-0.09,-14.09,WEAK,cost (15-40x too small),MICROSTRUCTURE,1s,BTCUSDT 3 venues,T1_MAJOR,T2_LIQUID_ALT,False,47035.0,,10.1,-10.19,-15.24,11.3,-11.39,-17.04,1.95,10.39,UNCHANGED_DEAD,3.9
XSEC_MOM_FUNDING_NET_7D,r3,-0.1,-14.1,DEAD,gross<=0 / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,-11.8,-17.65,15.3,-15.4,-23.05,1.95,10.39,UNCHANGED_DEAD,2.3
T4_INTERTRADE_COOLDOWN,r3,-0.45,-14.45,WEAK,cost (15-30x too small),MICROSTRUCTURE,1s,3 venues x 2 periods,T3_MID_ALT,T4_WIDE_ALT,False,35524.0,,12.7,-13.15,-19.5,15.8,-16.25,-24.15,1.95,10.39,UNCHANGED_DEAD,1.3
OI_CVD_MEMORY_OVERLAP residual [validation],validation,-1.12,-15.12,REJECTED,effect ABSENT and INVERTED; 79% overlap,EVENT_SHOCK,4h,49-symbol cascade residual,T2_LIQUID_ALT,T3_MID_ALT,False,3530.0,,11.3,-12.42,-18.07,12.7,-13.82,-20.17,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_MOM_OI_CONFIRMED_7D,r3,-2.5,-16.5,DEAD,gross<=0 / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,242.0,,11.7,-14.2,-20.05,15.3,-17.8,-25.45,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_SECTOR_NEUTRAL_MOM_7D,r3,-2.9,-16.9,DEAD,gross<=0,SLOW_STATE,7d,150/312 sector-mapped,T3_MID_ALT,T4_WIDE_ALT,True,330.0,,11.7,-14.6,-20.45,15.3,-18.2,-25.85,1.95,10.39,UNCHANGED_DEAD,2.3
POSITIONING_TAKER_FLOW [validation],validation,-4.1,-18.1,REJECTED,sign OPPOSITE; declustering ~20x overestimate,MICROSTRUCTURE,24h,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,49.0,,11.7,-15.8,-21.65,15.3,-19.4,-27.05,1.95,10.39,UNCHANGED_DEAD,2.3
SECTOR_RELATIVE_STRENGTH_REVERSAL [validated],validation,-7.72,-21.72,REJECTED,validation gate,UNCLEAR,,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,False,74.0,,12.7,-20.42,-26.77,15.8,-23.52,-31.42,1.95,10.39,UNCHANGED_DEAD,1.3
XSEC_CROWDING_LSR_1D,r3,-9.0,-23.0,DATA_LIMITED,n too small (10 periods),SLOW_STATE,1d,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,10.0,,11.7,-20.7,-26.55,15.3,-24.3,-31.95,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_DISPERSION_COND_MOM_7D,r3,-12.7,-26.7,DEAD,no edge,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,-24.4,-30.25,15.3,-28.0,-35.65,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_MOM_VOLADJ_7D,r3,-13.9,-27.9,DEAD,gross<=0 / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,-25.6,-31.45,15.3,-29.2,-36.85,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_MOM_30D_LS,r3,-15.7,-29.7,DEAD,anchor SIGN-FLIP,SLOW_STATE,30d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,78.0,,11.7,-27.4,-33.25,15.3,-31.0,-38.65,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_OI_GROWTH_RANK_7D,r3,-20.8,-34.8,DEAD,gross<=0,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,242.0,,11.7,-32.5,-38.35,15.3,-36.1,-43.75,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_ACCEL_7D,r3,-31.4,-45.4,WEAK,wrong sign / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,-43.1,-48.95,15.3,-46.7,-54.35,1.95,10.39,UNCHANGED_DEAD,2.3
GLOBAL_ACCOUNT_LSR_FADE [validation],validation,-33.6,-47.6,REJECTED,"sign OPPOSITE, negative gross",SLOW_STATE,24h,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,63.0,,11.7,-45.3,-51.15,15.3,-48.9,-56.55,1.95,10.39,UNCHANGED_DEAD,2.3
CROSS_SECTIONAL_MOMENTUM_CVD DIVERGENT leg [validation],validation,-47.4,-61.4,REJECTED,filter not a standalone position; ETA ~15 years,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,330.0,,11.7,-59.1,-64.95,15.3,-62.7,-70.35,1.95,10.39,UNCHANGED_DEAD,2.3
WHALE_LSR [already live as screen],validation,-57.8,-71.8,ALREADY_LIVE,"SHORT-shaped, thin N (screen only)",SLOW_STATE,24h,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,87.0,,11.7,-69.5,-75.35,15.3,-73.1,-80.75,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_REL_LIQUIDITY_7D,r3,-67.5,-81.5,DEAD,wrong sign,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,243.0,,11.7,-79.2,-85.05,15.3,-82.8,-90.45,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_MOM_CVD_DIVERGENT_7D,r3,-122.9,-136.9,DEAD,wrong sign,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,287.0,,11.7,-134.6,-140.45,15.3,-138.2,-145.85,1.95,10.39,UNCHANGED_DEAD,2.3
